Model_Method,bleu_1,bleu_2,meteor,rouge1_f1,rouge2_f1,rougeL_f1
advanced_lstm_basic,0.2838888888888889,0.23351747357725428,0.3781718312858018,0.3853222800591222,0.26096096096096094,0.36777842040999936
advanced_lstm_beam_search,0.29777777777777775,0.2746720249885641,0.4618654895667242,0.4163614163614164,0.34954954954954953,0.4163614163614164
advanced_lstm_temperature,0.2833333333333334,0.23490599699856526,0.4332062184427319,0.38589743589743586,0.265054528212423,0.38589743589743586
base_lstm_basic,0.18888888888888888,0.17086344260833597,0.29437862324189723,0.2436120789779326,0.1881241565452092,0.2436120789779326
base_lstm_beam_search,0.22999999999999998,0.18771765515456976,0.3443851438470094,0.30012507817385864,0.19307971939550886,0.30012507817385864
base_lstm_temperature,0.20222222222222222,0.1845409799133105,0.36469052827512777,0.2988847196164269,0.20969957812063078,0.2988847196164269
transformer_basic,0.18888888888888888,0.17086344260833597,0.3038537145303688,0.23343756514488226,0.19307971939550886,0.23343756514488226
transformer_beam_search,0.18888888888888888,0.17086344260833597,0.3038537145303688,0.23343756514488226,0.19307971939550886,0.23343756514488226
transformer_temperature,0.24333333333333332,0.2013951924595442,0.37022614717706265,0.3302063789868668,0.20882420882420885,0.3302063789868668
